'AEPYM ' 3  79  0.06 
'UPA ' 3  58  0.04 
'PIL ' 2  240  0.18 
'A V I ' 2  222  0.17 
'UPCP ' 2  180  0.14 
'UPT ' 2  104  0.08 
'AHI ' 2  77  0.06 
'A I L ' 2  46  0.03 
'PCAS ' 1  294  0.22 
'AILV ' 1  104  0.08 
'IPV ' 1  71  0.05 
'AIC ' 1  58  0.04 
'FGI ' 1  35  0.03 
'AEIPV ' 1  33  0.02 
'UPyD '    842  0.64 
'LV-GV '    338  0.26 
'UCiD '    319  0.24 
'FE '    61  0.05 
'CCD '    56  0.04 
'CIP '    37  0.03 
'AEM '    19  0.01 
'IxC '    3  0 
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'CiU  ' 926   105388   36.99  
'ESQUERRA-AM ' 364  42294  14.85 
'PSC-PM ' 351  56255  19.75 
'ICV-EUiA-E ' 59  14648  5.14 
'PP ' 38  17048  5.98 
'FIC ' 27  4601  1.61 
'CUP ' 20  7287  2.56 
'En-Cerd ' 15  1087  0.38 
'SI ' 12  4734  1.66 
'AAE1RIPOLLES ' 11  418  0.15 
'PxC ' 7  3147  1.10 
'JBE ' 7  205  0.07 
'GIP ' 7  194  0.07 
'MILLOR ' 6  2347  0.82 
'TSF ' 6  1919  0.67 
'AAE1OSONA ' 6  415  0.15 
'PICaldes ' 5  858  0.30 
'GENT ' 5  498  0.17 
'FpJ ' 5  172  0.06 
'INDAR ' 4  157  0.06 
'AMVIT ' 4  123  0.04 
'ECpR ' 4  75  0.03 
'GPS ' 4  48  0.02 
'L'EST ' 3  735  0.26 
'E C ' 3  530  0.19 
'UDEM ' 3  461  0.16 
'IPR ' 3  374  0.13 
'AGRUPACIO LA MUGA ' 3  292  0.10 
'UNITS PER SANT FELIU ' 3  227  0.08 
'ISAF ' 3  89  0.03 
'Jm ' 3  80  0.03 
'APG ' 2  571  0.20 
'Eb-CenB ' 2  469  0.16 
'GRUP UNITAT PLANENCA ' 2  249  0.09 
'PIC ' 2  104  0.04 
'CSJ ' 2  102  0.04 
'UNITS ' 2  54  0.02 
'el SAI ' 1  328  0.12 
'coet ' 1  289  0.10 
'RESTO ' 6  4882  1.71 
'PSOE de Andalucia  ' 742   169452   35.41  
'PP ' 681  194670  40.68 
'IULV-CA ' 152  49063  10.25 
'PA ' 72  18199  3.80 
'CAnda ' 12  6633  1.39 
'UPyD ' 9  10202  2.13 
'APPO ' 4  1624  0.34 
'IND ' 4  488  0.10 
'UPG ' 3  359  0.08 
'GIC ' 3  331  0.07 
'CIN ' 3  286  0.06 
'IDEA ' 2  906  0.19 
'IPF ' 2  410  0.09 
'NC ' 2  268  0.06 
'ADI ' 2  249  0.05 
'ANI ' 2  177  0.04 
'PIQ ' 2  174  0.04 
'GIRA ' 2  147  0.03 
'AEIG ' 2  112  0.02 
'LOS VERDES ' 1  3740  0.78 
'APZ ' 1  551  0.12 
'PIMOG ' 1  501  0.10 
'PIHO ' 1  416  0.09 
